"PID","LEGAL_TYPE","FOLIO","LAND_COORDINATE","ZONING_DISTRICT","ZONING_CLASSIFICATION","LOT","PLAN","BLOCK","DISTRICT_LOT","FROM_CIVIC_NUMBER","TO_CIVIC_NUMBER","STREET_NAME","PROPERTY_POSTAL_CODE","NARRATIVE_LEGAL_LINE1","NARRATIVE_LEGAL_LINE2","NARRATIVE_LEGAL_LINE3","NARRATIVE_LEGAL_LINE4","NARRATIVE_LEGAL_LINE5","CURRENT_LAND_VALUE","CURRENT_IMPROVEMENT_VALUE","TAX_ASSESSMENT_YEAR","PREVIOUS_LAND_VALUE","PREVIOUS_IMPROVEMENT_VALUE","YEAR_BUILT","BIG_IMPROVEMENT_YEAR","TAX_LEVY","NEIGHBOURHOOD_CODE","REPORT_YEAR","NOTE"
"002-827-450","LAND",739184540000,73918454,"R1-1","Residential Inclusive","7","VAP1717","5","638","",50,"37TH AVE E","V5W 1E2","LOT 7  BLOCK 5  PLAN VAP1717  DISTR","ICT LOT 638  NEW WESTMINSTER","","","",1947000,34600,2025,1977000,37800,1961,1965,"8719.17",16,2025,""
"012-743-135","LAND",818124800000,81812480,"RS-1","One-Family Dwelling","44","VAP3563","1","325","",1508,"63RD AVE W","V6P 2H6","LOT 44  BLOCK 1  PLAN VAP3563  DIST","RICT LOT 325  NEW WESTMINSTER","","","",1324000,281000,2020,1530000,274000,1995,1995,"6529.72",12,2020,""
"002-537-290","STRATA",120602970043,12060297,"DD","Comprehensive Development","43","VAS1544","","185","455",855,"BURRARD ST","V6Z 2K7","LOT 43  PLAN VAS1544  DISTRICT LOT","185  NWD TOGETHER WITH AN INTEREST","IN THE COMMON PROPERTY IN PROPORTIO","N TO THE UNIT ENTITLEMENT OF THE ST","RATA LOT AS SHOWN ON FORM 1 OR V, A",336000,199000,2025,315000,187000,1985,1985,"1668.28",27,2025,""
"016-365-135","STRATA",156840740008,15684074,"I-2","Industrial","8","VAS2725","","319","108",8898,"HEATHER ST","V6P 3S8","LOT 8  PLAN VAS2725  DISTRICT LOT 3","19  NWD & DL 323 & 324, TOGETHER WI","TH AN INTEREST IN THE COMMON PROPER","TY IN PROPORTION TO THE UNIT ENTITL","EMENT OF THE STRATA LOT AS SHOWN ON",1898000,228000,2026,1879000,225000,1990,1990,"",18,2026,""
"024-480-401","STRATA",120605980367,12060598,"CD-1 (322)","Comprehensive Development","367","LMS1866","","541","RT9",970,"BURRARD ST","V6Z 2R4","LOT 367  PLAN LMS1866  DISTRICT LOT","541  NEW WESTMINSTER UNDIV 178/958","69 SHARE IN COM PROP THEREIN.","","",252000,16700,2021,216000,17300,1975,1998,"1996.17",26,2021,""
"005-218-004","LAND",792162550000,79216255,"RS-1","One-Family Dwelling","6","VAP9908","895","526","",585,"50TH AVE W","V6P 1A1","LOT 6  BLOCK 895  PLAN VAP9908  DIS","TRICT LOT 526  NWD GROUP 1.","","","",2939000,147000,2022,2708000,129000,1964,1972,"10275.3",11,2022,""
"029-857-988","STRATA",594186780005,59418678,"CD-1 (547)","Comprehensive Development","5","EPS3444","","196","603",188,"KEEFER ST","V6A 0E3","LOT 5  PLAN EPS3444  DISTRICT LOT 1","96  NWD GROUP 1, TOGETHER WITH AN I","NTEREST IN THE COMMON PROPERTY IN P","ROPORTION TO THE UNIT ENTITLEMENT O","F THE STRATA LOT AS SHOWN ON FORM 1",364000,176000,2021,360000,172000,2016,2016,"1578.16",26,2021,""
"029-375-355","STRATA",646165530018,64616553,"C-3A","Commercial","18","EPS2157","","526","701",555,"7TH AVE W","V5Z 1B4","STRATA LOT 18  PLAN EPS2157  DISTRI","CT LOT 526  NWD  GROUP 1  TOGETHER","WITH AN INTEREST IN THE COMMON PROP","ERTY IN PROPORTION TO THE UNIT ENTI","TLEMENT OF THE STRATA LOT AS SHOWN",563000,488000,2026,584000,506000,2014,2014,"",7,2026,""
"002-805-502","STRATA",646146920004,64614692,"FM-1","Multiple Dwelling","4","VAS1587","","526","105",1100,"7TH AVE W","V6H 1B4","LOT 4  PLAN VAS1587  DISTRICT LOT 5","26  NEW WESTMINSTER UNDIV 72/2207 S","HARE IN COM PROP THEREIN.","","",547000,96600,2021,513000,104000,1986,1986,"1880.92",7,2021,""
"030-988-489","STRATA",837315350013,83731535,"CD-1 (565)","Comprehensive Development","13","EPS6476","","331","213",8508,"RIVERGRASS DR","V5S 0H7","STRATA LOT 13  PLAN EPS6476  DISTRI","CT LOT 331  NWD  GROUP 1  PHASE 1,","TOGETHER WITH AN INTEREST IN THE CO","MMON PROPERTY IN PROPORTION TO THE","UNIT ENTITLEMENT OF THE STRATA LOT",524000,246000,2023,477000,255000,2019,2019,"2141.13",18,2023,""
"023-359-587","STRATA",190605770033,19060577,"CD-1 (264)","Comprehensive Development","33","LMS2327","","2037","705",1255,"MAIN ST","V6A 4G5","STRATA LOT 33, PLAN LMS2327, DISTRI","CT LOT 2037, NEW WESTMINSTER LAND D","ISTRICT, TOGETHER WITH AN INTEREST","IN THE COMMON PROPERTY IN PROPORTIO","N TO THE UNIT ENTITLEMENT OF THE ST",626000,230000,2026,668000,245000,1996,1996,"",30,2026,""
"014-000-245","LAND",607271750000,60727175,"RS-1","One-Family Dwelling","44","VAP2195","3","THSL","",2575,"CHARLES ST","V5K 3A2","LOT 44  BLOCK 3  SECTION 22  PLAN V","AP2195  DISTRICT LOT THSL  NWD PART","SE 1/4.","","",1068000,31400,2020,1211000,33200,1931,1931,"4780.49",20,2020,""
"031-938-451","STRATA",733261060003,73326106,"CD-1 (658)","Comprehensive Development","3","EPS7789","","394","",5018,"NANAIMO ST","V5P 4J1","STRATA LOT 3  PLAN EPS7789  DISTRIC","T LOT 394  NWD  GROUP 1  TOGETHER W","ITH AN INTEREST IN THE COMMON PROPE","RTY IN PROPORTION TO THE UNIT ENTIT","LEMENT OF THE STRATA LOT AS SHOWN O",NA,NA,NA,NA,NA,NA,NA,"",23,2023,""
"032-050-674","STRATA",285602720001,28560272,"R1-1","Residential Inclusive","1","EPS9702","","THSL","",1212,"LE ROI ST","V5K 4G2","STRATA LOT 1  SECTION 24  PLAN EPS9","702  DISTRICT LOT THSL  NWD  PART S","E 1/4  GROUP 1  TOGETHER WITH AN IN","TEREST IN THE COMMON PROPERTY IN PR","OPORTION TO THE UNIT ENTITLEMENT OF",1091000,532000,2026,1164000,565000,NA,NA,"",20,2026,""
"003-497-763","STRATA",83715740073,8371574,"CD-1 (78)","Comprehensive Development","73","VAS146","","526","405",2101,"MCMULLEN AVE","V6L 3B4","LOT 73  PLAN VAS146  DISTRICT LOT 5","26  NEW WESTMINSTER UNDIV 884/11315","3 SHARE IN COM PROP THEREIN.","","",537000,97200,2022,532000,96300,1973,1973,"1707.86",4,2022,""
"028-634-071","STRATA",250670930011,25067093,"C-2C1","Commercial","11","BCS4163","","264A","206",1689,"13TH AVE E","V5N 0A5","LOT 11  PLAN BCS4163  DISTRICT LOT","264A  NWD GROUP 1, TOGETHER WITH AN","INTEREST IN COMMON PROPERTY IN PRO","PORTION TO THE UNIT ENTITLEMENT OF","THE STRATE LOT AS SHOWN ON FORM 1 O",438000,259000,2020,407000,262000,2011,2011,"1988.34",14,2020,""
"027-928-977","STRATA",829156190002,82915619,"RT-2","Residential","2","BCS3447","","319","",787,"69TH AVE W","V6P 2W2","LOT 2  PLAN BCS3447  DISTRICT LOT 3","19  NWD GROUP 1, & DL 323 & 324, TO","GETHER WITH AN INTEREST IN THE COMM","ON PROPERTY IN PROPORTION TO THE UN","IT ENTITLEMENT OF THE STRATA LOT AS",1242000,344000,2025,1215000,372000,2009,2009,"6691.58",12,2025,""
"026-519-593","STRATA",605186950019,60518695,"CD-1 (264)","Comprehensive Development","19","BCS1644","","","503",189,"NATIONAL AVE","V6A 4L8","LOT 19  PLAN BCS1644  NEW WESTMINST","ER DISTRICT LOT 196 & 2037, GROUP 1",".","","",628000,271000,2026,627000,271000,2005,2005,"",30,2026,""
"027-049-825","STRATA",172595060405,17259506,"CD-1 (265)","Comprehensive Development","405","BCS2313","","FC","2707",688,"ABBOTT ST","V6B 0B9","STRATA LOT 405, PLAN BCS2313, DISTR","ICT LOT FC, NEW WESTMINSTER LAND DI","STRICT, TOGETHER WITH AN INTEREST I","N THE COMMON PROPERTY IN PROPORTION","TO THE UNIT ENTITLEMENT OF THE STR",736286,278000,2024,664000,249000,2007,2007,"3010.59",26,2024,""
"006-648-843","STRATA",596205940001,59620594,"RT-3","Residential","1","VAS1508","","181","",701,"HAWKS AVE","V6A 3J2","LOT 1  PLAN VAS1508  DISTRICT LOT 1","81  NEW WESTMINSTER UNDIV 1370/1000","0 SHARE IN COM PROP THEREIN.","","",1281000,75000,2024,1303000,76300,1905,1979,"5779.04",13,2024,""
"024-593-109","STRATA",309770550003,30977055,"CD-1 (351)","Comprehensive Development","3","LMS3991","","37","",5678,"WESSEX ST","V5R 6G7","LOT 3  PLAN LMS3991  DISTRICT LOT 3","7  NEW WESTMINSTER UNDIV 1254/37644","SHARE IN COM RPOP THEREIN.","","",488000,255000,2025,517000,270000,1999,1999,"2316.87",24,2025,""
"028-797-965","STRATA",160595920060,16059592,"CD-1 (415)","Comprehensive Development","60","BCS4387","","541","702",161,"GEORGIA ST W","V6B 0K9","LOT 60  PLAN BCS4387  DISTRICT LOT","541  NWD GROUP 1, TOGETHER WITH AN","INTEREST IN THE COMMON PROPERTY IN","PROPORTION TO THE UNIT ENTITLEMENT","OF THE STRATA LOT AS SHOWN ON FORM",444000,131000,2022,435000,129000,2012,2012,"1548.44",26,2022,""
"026-649-616","STRATA",583110840008,58311084,"CD-1 (321)","Comprehensive Development","8","BCS1820","","","205",1616,"BAYSHORE DR","V6G 3L1","LOT 8  PLAN BCS1820  NEW WESTMINSTE","R OF THE PUBLIC HARBOUR OF BURRARD","INLET.","","",1261000,517000,2023,1172000,527000,2006,2006,"4944.09",28,2023,""
"006-514-049","LAND",42691200000,4269120,"RS-1","One-Family Dwelling","14","VAP5532","A","139","",3330,"COLLINGWOOD ST","V6S 2A1","LOT 14  BLOCK A  PLAN VAP5532  DIST","RICT LOT 139  NEW WESTMINSTER","","","",2778000,517000,2021,2589000,519000,1987,2000,"11926.6",3,2021,""
"014-192-608","LAND",714230260000,71423026,"RT-10","Residential","16","VAP1909","2","352","",1426,"27TH AVE E","V5N 2W5","LOT 16  BLOCK 2  PLAN VAP1909  DIST","RICT LOT 352  NWD E HLF OF LOT, OF","S PART OF BLK 1 & 3.","","",1563000,45600,2025,1533000,45200,1914,1980,"7477.05",19,2025,""
